,Planet Name,Discovery Year,Orbital Period (days),Orbital Radius,Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Density,Equilibrium Temperature [K],Transit Duration [hours],Star luminosity
3206,Kepler-1933 b,2021,4.94329023,0.0561,1.18,1.76,5.89,1058.0,2.9334,-0.116
3207,Kepler-1934 b,2021,1.41975999,0.0245,0.913,0.702,5.07,1700.0,1.5126,0.108
3208,Kepler-1935 b,2021,3.95140004,0.0463,2.503,6.82,2.39,1083.0,1.0582,0.164
3209,Kepler-1936 b,2021,126.5569992,0.5548,3.166,10.2,1.77,524.0,7.923,0.456
3210,Kepler-1937 b,2021,9.68859959,0.0943,3.023,9.39,1.87,1014.0,2.0,0.209
3211,Kepler-1938 b,2021,13.06260014,0.0938,1.828,4.0,3.6,527.0,3.244,-0.65
3212,Kepler-1939 b,2021,2.7906599,0.0334,1.165,1.68,5.84,816.0,0.662,-0.808
3213,Kepler-194 b,2014,2.092281,0.032,1.51,2.89,4.61,1648.0,2.351,0.043
3214,Kepler-194 c,2014,17.308032,0.131,2.59,7.22,2.28,815.0,4.961,0.043
3215,Kepler-194 d,2014,52.814973,0.275,2.4,6.35,2.52,562.0,7.3,0.043
3216,Kepler-1940 b,2021,4.95061016,0.0525,1.547,3.01,4.46,885.0,1.808,-0.377
3217,Kepler-1941 b,2021,31.33510017,0.2054,2.65,7.51,2.22,666.0,6.071,0.436
3218,Kepler-1942 b,2021,4.62604999,0.0516,2.117,5.13,2.97,1012.0,0.56,-0.075
3219,Kepler-1943 b,2021,4.85018015,0.0571,1.549,3.02,4.47,1098.0,5.676,0.445
3220,Kepler-1944 b,2021,9.84257984,0.0918,2.76,8.05,2.1,801.0,1.5672,-0.083
3221,Kepler-1945 b,2021,6.08003998,0.0597,1.289,2.21,5.67,808.0,1.308,-0.441
3222,Kepler-1946 b,2021,3.03519011,0.0394,2.488,6.75,2.41,1143.0,0.6182,-0.279
3223,Kepler-1947 b,2021,6.9636302,0.0711,1.01,1.01,5.38,1298.0,3.176,0.111
3224,Kepler-1948 b,2021,15.57129955,0.1022,1.033,1.09,5.44,399.0,2.155,-0.862
3225,Kepler-1949 b,2021,2.20828009,0.0352,2.22,5.56,2.79,1709.0,2.841,0.713
3226,Kepler-195 b,2014,8.307872,0.077,2.03,4.78,3.14,751.0,3.15,-0.367
3227,Kepler-195 c,2014,34.096863,0.197,1.55,3.02,4.46,469.0,3.904,-0.367
3228,Kepler-1950 b,2021,10.77690029,0.0871,1.527,2.95,4.55,752.0,2.616,-0.223
3229,Kepler-1951 b,2021,20.65780067,0.1435,2.321,6.0,2.64,728.0,8.232,0.501
3230,Kepler-1952 b,2021,27.21080017,0.1724,1.239,2.07,5.98,725.0,10.515,0.291
3231,Kepler-1953 b,2021,6.24565983,0.0607,1.286,2.2,5.69,731.0,2.372,-0.63
3232,Kepler-1954 b,2021,5.88343,0.0625,1.802,3.9,3.66,949.0,2.466,0.045
3233,Kepler-1955 b,2021,14.26519966,0.117,1.167,1.69,5.85,853.0,3.601,0.23
3234,Kepler-1956 b,2021,5.94371986,0.0563,1.089,1.32,5.61,674.0,1.847,-1.045
3235,Kepler-1957 b,2021,2.18662,0.0299,0.944,0.79,5.16,1099.0,1.585,-0.601
3236,Kepler-1958 b,2021,9.32861996,0.0856,2.051,4.86,3.09,806.0,1.6632,-0.001
3237,Kepler-1959 b,2021,6.38669014,0.0617,1.143,1.57,5.78,811.0,1.2428,-0.474
3238,Kepler-196 b,2014,20.739886,0.138,1.9,4.27,3.42,536.0,3.014,-0.393
3239,Kepler-196 c,2014,47.427737,0.24,2.24,5.65,2.76,407.0,5.114,-0.393
3240,Kepler-196 d,2021,122.0800018,0.4484,2.661,7.56,2.21,297.0,4.121,-0.393
3241,Kepler-1960 b,2021,2.29794002,0.0354,1.307,2.26,5.56,1547.0,2.923,0.271
3242,Kepler-1961 b,2021,5.6047101,0.0588,1.619,3.25,4.21,866.0,2.885,-0.276
3243,Kepler-1962 b,2021,7.99145985,0.0783,1.215,1.95,5.98,901.0,3.2,-0.122
3244,Kepler-1963 b,2021,1.96226001,0.0298,0.744,0.337,4.49,1448.0,1.45,-0.259
3245,Kepler-1964 b,2021,2.44082999,0.0322,1.781,3.83,3.73,986.0,0.54,-0.631
3246,Kepler-1965 b,2021,41.86869812,0.2301,1.354,2.4,5.31,492.0,5.783,-0.076
3247,Kepler-1966 b,2021,8.61742973,0.0763,1.105,1.39,5.66,733.0,2.713,-0.567
3248,Kepler-1967 b,2021,7.28169012,0.0735,0.73,0.315,4.45,1086.0,1.723,-0.567
3249,Kepler-1968 b,2021,7.2810998,0.0696,1.5,2.86,4.66,744.0,2.716,-0.65
3250,Kepler-1969 b,2021,6.64752007,0.0717,1.682,3.47,4.01,999.0,1.961,-0.181
3251,Kepler-197 b,2014,5.599308,0.06,1.02,1.04,5.39,1142.0,3.681,0.222
3252,Kepler-197 c,2014,10.349695,0.09,1.23,5.3,15.7,930.0,4.251,0.222
3253,Kepler-197 d,2014,15.677563,0.119,1.22,1.98,5.99,810.0,5.326,0.222
3254,Kepler-197 e,2014,25.209715,0.164,0.91,0.693,5.05,691.0,6.298,0.222
3255,Kepler-1972 b,2014,7.54425,0.0763,0.802,2.02,22.2,1084.0,6.926,0.294
3256,Kepler-1972 c,2014,11.3295,0.1041,0.868,2.11,18.4,1215.0,5.86,0.294
3258,Kepler-1977 b,2023,4.53702121,0.0486,1.66,3.39,4.07,798.0,1.813,-0.694
3259,Kepler-1978 b,2023,10.84969477,0.0914,2.67,7.61,2.2,676.0,3.474,-0.298
3260,Kepler-1979 b,2023,18.5084526,0.1383,29.33,79500.0,17.3,683.0,6.596,-0.094
3261,Kepler-198 b,2014,17.790037,0.131,2.82,8.35,2.05,655.0,4.478,-0.109
3262,Kepler-198 c,2014,49.567416,0.259,2.47,6.66,2.43,465.0,3.668,-0.109
3263,Kepler-198 d,2016,1.31184443,0.0229,1.53,2.96,4.54,1562.0,1.7729,-0.109
3264,Kepler-1980 b,2023,33.0257179,0.2049,2.21,5.52,2.81,564.0,6.032,0.224
3265,Kepler-1981 b,2023,453.54212,1.3292,9.23,62.5,0.437,390.0,17.026,0.244
3266,Kepler-1982 b,2023,3.82315697,0.0511,0.77,0.381,4.59,1282.0,2.388,0.371
3267,Kepler-1983 b,2023,7.32851947,0.0689,2.33,6.04,2.62,807.0,1.211,-0.481
3268,Kepler-1984 b,2023,1.99281234,0.0238,6.81,37.3,0.649,675.0,2.066,-1.55
3269,Kepler-1985 b,2023,3.42064689,0.0426,2.27,5.77,2.71,1129.0,1.767,-0.155
3270,Kepler-1986 b,2023,19.5489666,0.1307,1.89,4.23,3.44,579.0,1.78,-0.411
3271,Kepler-1987 b,2023,2.345863,0.0318,1.23,2.04,6.02,997.0,1.6795,-0.616
3272,Kepler-1987 c,2023,3.64830183,0.0427,1.33,2.33,5.44,860.0,1.9985,-0.616
3273,Kepler-1987 d,2023,5.64491415,0.0571,2.66,7.56,2.21,744.0,2.2599,-0.616
3274,Kepler-1987 e,2023,8.74292005,0.0765,1.92,4.35,3.38,643.0,2.6277,-0.616
3275,Kepler-1988 b,2023,11.49500229,0.1038,1.53,2.96,4.54,1105.0,7.602,0.582
3276,Kepler-1989 b,2023,10.16102353,0.0918,4.62,19.3,1.08,904.0,3.1627,0.279
3277,Kepler-199 b,2014,23.637604,0.158,3.11,9.85,1.8,595.0,4.954,-0.097
3278,Kepler-199 c,2014,67.093408,0.316,3.25,10.6,1.7,420.0,6.931,-0.097
3279,Kepler-1990 b,2023,1.73513619,0.0286,3.27,10.7,1.68,1554.0,2.2741,0.117
3280,Kepler-1990 c,2023,4.06844957,0.0504,0.98,0.904,5.28,1170.0,2.8349,0.117
3281,Kepler-1991 b,2023,13.26079792,0.1065,1.47,2.76,4.77,760.0,3.912,-0.108
3282,Kepler-1991 c,2023,22.79020351,0.1528,2.57,7.13,2.31,634.0,5.0394,-0.108
3283,Kepler-1992 b,2023,15.6112238,0.1169,0.91,0.693,5.05,637.0,3.873,-0.009
3284,Kepler-1993 b,2023,26.6565737,0.1943,4.15,16.1,1.24,903.0,4.954,0.778
3285,Kepler-1994 b,2023,4.61225043,0.053,0.51,0.087,3.6,1032.0,2.695,-0.042
3286,Kepler-1995 b,2023,73.7578875,0.3259,4.28,16.9,1.18,375.0,2.69,-0.556
3287,Kepler-1996 b,2023,32.376183,0.1789,2.26,5.73,2.73,392.0,4.4639,-0.657
3288,Kepler-1996 c,2023,92.7297248,0.3608,2.81,8.3,2.06,276.0,6.83,-0.657
3289,Kepler-1997 b,2023,26.7575866,0.1815,2.28,5.82,2.7,660.0,5.858,0.132
3290,Kepler-1998 b,2023,3.03267135,0.0405,0.6,0.156,3.97,1187.0,1.774,-0.066
3291,Kepler-1999 b,2023,8.7396758,0.0713,3.29,10.8,1.67,577.0,3.866,-0.773
3292,Kepler-20 b,2011,3.6961049,0.04565,1.773,9.7,9.4,1187.0,2.463,-0.165
3293,Kepler-20 c,2011,10.8540774,0.0936,2.894,11.1,2.51,828.0,3.7768,-0.165
3294,Kepler-20 d,2011,77.611455,0.3474,2.606,13.4,4.1,430.0,7.2566,-0.165
3295,Kepler-20 e,2011,6.0984882,0.0637,0.821,0.76,7.5,1004.0,2.9815,-0.165
3296,Kepler-20 f,2011,19.578328,0.1387,0.952,1.4,8.4,681.0,3.744,-0.165
3298,Kepler-200 b,2014,8.594805,0.08,2.13,5.18,2.95,854.0,3.534,0.008
3299,Kepler-200 c,2014,10.222157,0.09,1.59,3.15,4.31,806.0,1.11,0.008
3300,Kepler-2000 b,2023,6.38315913,0.0562,2.73,7.9,2.13,530.0,1.7504,-1.053
3301,Kepler-2000 c,2023,20.6180348,0.1228,1.57,3.09,4.39,359.0,3.267,-1.053
3302,Kepler-2001 b,2023,1.090011,0.0197,1.04,1.12,5.47,1402.0,1.5,-0.546
3303,Kepler-2001 c,2023,14.09258319,0.1084,1.82,3.97,3.62,597.0,4.1536,-0.546
3304,Kepler-201 b,2014,25.672083,0.175,2.46,6.62,2.44,683.0,5.627,0.348
3305,Kepler-201 c,2014,151.884058,0.573,2.85,8.5,2.02,378.0,12.99,0.348
3306,Kepler-202 b,2014,4.069427,0.045,1.63,3.29,4.17,802.0,2.067,-0.638
3307,Kepler-202 c,2014,16.282493,0.113,1.85,4.08,3.54,505.0,2.853,-0.638
3308,Kepler-203 b,2014,3.162697,0.043,2.57,7.13,2.31,1308.0,1.9,0.094
3309,Kepler-203 c,2014,5.370647,0.061,2.47,749.9,273.0,1096.0,2.014,0.094
3310,Kepler-203 d,2014,11.32972,0.1,1.44,33.9,62.4,855.0,3.992,0.094
3311,Kepler-204 b,2014,14.400974,0.117,2.53,6.94,2.35,828.0,3.906,0.03
3312,Kepler-204 c,2014,25.660593,0.173,1.79,3.86,3.7,683.0,4.383,0.03
3313,Kepler-205 b,2014,2.75564,0.032,1.51,2.89,4.61,757.0,1.948,-0.956
3314,Kepler-205 c,2014,20.306546,0.122,1.64,3.33,4.15,389.0,2.873,-0.956
3315,Kepler-206 b,2014,7.781987,0.078,1.2,1.87,5.95,983.0,3.644,0.084
3316,Kepler-206 c,2014,13.137471,0.111,1.77,3.78,3.75,825.0,4.768,0.084
3317,Kepler-206 d,2014,23.44281,0.163,1.19,1.81,5.9,681.0,5.389,0.084
3318,Kepler-207 b,2014,1.611865,0.029,1.57,3.09,4.39,1930.0,2.999,0.534
3319,Kepler-207 c,2014,3.071571,0.044,1.5,2.86,4.66,1556.0,4.077,0.534
3320,Kepler-207 d,2014,5.868075,0.068,3.31,11.0,1.67,1254.0,3.97,0.534
3321,Kepler-208 b,2014,4.22864,0.054,1.63,3.29,4.17,1379.0,3.308,0.309
3322,Kepler-208 c,2014,7.466623,0.079,1.39,2.51,5.14,1141.0,3.882,0.309
3323,Kepler-208 d,2014,11.131786,0.103,1.2,1.87,5.95,999.0,4.118,0.309
3324,Kepler-208 e,2014,16.259458,0.132,1.48,2.79,4.73,880.0,4.038,0.309
3325,Kepler-209 b,2014,16.087845,0.122,2.26,5.73,2.73,668.0,2.878,-0.129
3326,Kepler-209 c,2014,41.749882,0.231,3.1,9.8,1.81,486.0,5.63,-0.129
3327,Kepler-21 b,2012,2.7858212,0.0434,1.639,7.5,9.3,2015.0,3.4834,0.715
3328,Kepler-210 b,2014,2.453234,0.032,2.94,8.96,1.94,737.0,1.746,-0.799
3329,Kepler-210 c,2014,7.972513,0.07,3.62,12.8,1.48,497.0,2.902,-0.799
3330,Kepler-211 b,2014,4.138575,0.048,1.26,2.13,5.85,954.0,2.226,-0.413
3331,Kepler-211 c,2014,6.04045,0.062,1.29,18.3,46.8,841.0,2.053,-0.413
3332,Kepler-212 b,2014,16.257582,0.133,1.09,1.32,5.6,830.0,6.596,0.383
3333,Kepler-212 c,2014,31.805174,0.207,2.74,7.95,2.12,664.0,8.316,0.383
3334,Kepler-213 b,2014,2.46236,0.036,1.62,3.26,4.21,1326.0,1.768,0.082
3335,Kepler-213 c,2014,4.822962,0.057,2.34,6.08,2.61,1060.0,0.828,0.082
3336,Kepler-214 b,2014,15.660544,0.13,2.61,7.32,2.26,758.0,7.006,0.511
3337,Kepler-214 c,2014,28.7798,0.194,2.13,5.18,2.95,619.0,7.803,0.511
3338,Kepler-215 b,2014,9.360672,0.084,1.62,3.26,4.21,784.0,3.035,-0.117
3339,Kepler-215 c,2014,14.667108,0.113,1.77,3.78,3.75,675.0,3.855,-0.117
3340,Kepler-215 d,2014,30.864423,0.185,2.39,23.6,9.5,527.0,2.719,-0.117
3341,Kepler-215 e,2014,68.16101,0.314,1.75,3.71,3.8,405.0,5.654,-0.117
3342,Kepler-216 b,2014,7.693641,0.079,2.35,6.12,2.59,1069.0,5.05,0.518
3343,Kepler-216 c,2014,17.406669,0.136,3.04,9.48,1.85,814.0,6.869,0.518
3344,Kepler-217 b,2014,5.374943,0.065,2.23,5.6,2.77,1413.0,4.011,0.754
3345,Kepler-217 c,2014,8.586004,0.089,1.85,4.08,3.54,1208.0,3.356,0.754
3346,Kepler-217 d,2016,3.88689525,0.0505,1.32,2.3,5.5,1574.0,3.658,0.754
3347,Kepler-218 b,2014,3.619337,0.046,1.48,2.79,4.73,1156.0,3.014,0.009
3348,Kepler-218 c,2014,44.699576,0.248,3.14,10.0,1.77,500.0,6.271,0.009
3349,Kepler-218 d,2016,124.5244647,0.4865,2.66,7.56,2.21,356.0,9.598,0.009
3350,Kepler-219 b,2014,4.585512,0.057,2.95,9.01,1.93,1307.0,3.272,0.214
3351,Kepler-219 c,2014,22.714613,0.165,3.58,12.5,1.5,766.0,5.808,0.214
3352,Kepler-219 d,2014,47.903645,0.272,2.81,19.1,4.73,598.0,5.719,0.214
3353,Kepler-22 b,2011,289.863876,0.812,2.1,9.1,5.2,279.0,7.415,-0.19
3354,Kepler-220 b,2014,4.159807,0.046,0.81,0.457,4.73,759.0,1.626,-0.676
3355,Kepler-220 c,2014,9.034199,0.076,1.57,3.09,4.39,586.0,1.486,-0.676
3356,Kepler-220 d,2014,28.122397,0.163,0.98,0.904,5.28,401.0,4.103,-0.676
3357,Kepler-220 e,2014,45.902733,0.226,1.33,2.33,5.44,341.0,5.088,-0.676
3358,Kepler-221 b,2014,2.795906,0.037,1.71,3.57,3.92,1090.0,2.064,-0.404
3359,Kepler-221 c,2014,5.690586,0.059,2.93,15.1,3.3,860.0,2.522,-0.404
3360,Kepler-221 d,2014,10.04156,0.087,2.73,7.9,2.13,712.0,2.53,-0.404
3361,Kepler-221 e,2014,18.369917,0.13,2.63,7.41,2.24,582.0,2.245,-0.404
3362,Kepler-222 b,2014,3.936981,0.048,3.16,10.1,1.76,1004.0,1.828,-0.338
3363,Kepler-222 c,2014,10.08881,0.091,4.64,19.4,1.07,734.0,1.714,-0.338
3364,Kepler-222 d,2014,28.081912,0.18,3.69,13.2,1.44,522.0,4.541,-0.338
3365,Kepler-223 b,2014,7.38449,0.0756,2.99,7.4,1.54,1042.0,5.7351,0.371
3366,Kepler-223 c,2014,9.84564,0.0916,3.44,5.1,0.71,947.0,5.7471,0.371
3367,Kepler-223 d,2014,14.78869,0.1201,5.24,8.0,0.31,827.0,6.1191,0.371
3368,Kepler-223 e,2014,19.72567,0.1455,4.6,4.8,0.28,751.0,7.202,0.371
3369,Kepler-224 b,2014,3.132924,0.038,1.39,2.51,5.14,937.0,2.034,-0.514
3370,Kepler-224 c,2014,5.925003,0.058,3.12,9.91,1.79,758.0,2.843,-0.514
3371,Kepler-224 d,2014,11.349393,0.089,2.3,5.9,2.66,610.0,3.114,-0.514
3372,Kepler-224 e,2014,18.643577,0.124,1.97,4.54,3.26,517.0,1.846,-0.514
3373,Kepler-225 b,2014,6.738975,0.056,1.2,1.87,5.95,579.0,3.018,-0.996
3374,Kepler-225 c,2014,18.794234,0.111,1.84,4.04,3.56,412.0,3.279,-0.996
3375,Kepler-226 b,2014,3.940997,0.047,1.55,24.0,35.4,1018.0,2.596,-0.239
3376,Kepler-226 c,2014,5.349555,0.058,2.27,45.2,21.2,919.0,3.051,-0.239
3377,Kepler-226 d,2014,8.109044,0.076,1.22,1.98,5.99,800.0,3.698,-0.239
3378,Kepler-227 b,2014,9.488015,0.09,3.11,9.85,1.8,793.0,3.113,-0.121
3379,Kepler-227 c,2014,54.418694,0.29,3.04,9.48,1.85,443.0,4.511,-0.121
3380,Kepler-228 b,2014,2.566546,0.038,1.53,2.96,4.54,1360.0,2.327,0.111
3381,Kepler-228 c,2014,4.134444,0.052,2.7,7.75,2.16,1160.0,3.123,0.111
3382,Kepler-228 d,2014,11.094286,0.101,4.04,15.4,1.28,835.0,4.591,0.111
3383,Kepler-229 b,2014,6.252972,0.062,2.2,5.48,2.83,823.0,2.64,-0.538
3384,Kepler-229 c,2014,16.068638,0.117,4.92,21.5,0.992,600.0,3.546,-0.538
3385,Kepler-229 d,2014,41.194912,0.22,3.85,14.2,1.37,439.0,5.02,-0.538
3388,Kepler-23 d,2014,15.274299,0.124,2.2,17.6,9.08,896.0,6.094,0.398
3389,Kepler-230 b,2014,32.625555,0.191,4.26,16.8,1.19,506.0,5.783,-0.368
3390,Kepler-230 c,2014,91.773242,0.38,2.04,4.82,3.12,359.0,6.034,-0.368
3391,Kepler-231 b,2014,10.065275,0.074,1.73,35.4,37.6,488.0,1.44,-1.036
3392,Kepler-231 c,2014,19.271566,0.114,1.93,24.1,18.4,393.0,3.209,-1.036
3393,Kepler-232 b,2014,4.431222,0.054,3.08,9.69,1.82,1104.0,3.172,0.052
3394,Kepler-232 c,2014,11.379349,0.101,3.83,14.0,1.37,806.0,2.612,0.052
3395,Kepler-233 b,2014,8.472382,0.077,2.43,6.48,2.48,751.0,2.697,-0.328
3396,Kepler-233 c,2014,60.418955,0.287,2.71,7.8,2.15,390.0,5.619,-0.328
3397,Kepler-234 b,2014,2.711506,0.04,3.7,13.2,1.43,1420.0,3.175,0.24
3398,Kepler-234 c,2014,7.21205,0.077,3.51,12.1,1.54,1025.0,4.039,0.24
3399,Kepler-235 b,2014,3.340222,0.037,2.23,5.6,2.77,731.0,1.925,-1.102
3400,Kepler-235 c,2014,7.824904,0.065,1.28,2.18,5.71,555.0,2.217,-1.102
3401,Kepler-235 d,2014,20.060548,0.122,2.05,4.86,3.1,401.0,3.312,-1.102
3402,Kepler-235 e,2014,46.183669,0.213,2.22,5.56,2.79,306.0,4.833,-1.102
3403,Kepler-236 b,2014,8.295611,0.065,1.57,3.09,4.39,469.0,1.328,-1.229
3404,Kepler-236 c,2014,23.968127,0.132,2.0,4.66,3.2,329.0,4.166,-1.229
3405,Kepler-237 b,2014,4.715106,0.05,1.41,2.57,5.04,823.0,2.351,-0.477
3406,Kepler-237 c,2014,8.103636,0.071,2.08,4.98,3.04,687.0,3.15,-0.477
3407,Kepler-238 b,2014,2.090876,0.034,1.73,3.64,3.86,1642.0,3.193,0.43
3408,Kepler-238 c,2014,6.155557,0.069,2.39,6.3,2.54,1146.0,4.837,0.43
3409,Kepler-238 d,2014,13.233549,0.115,3.07,9.64,1.83,888.0,6.642,0.43
3410,Kepler-238 e,2013,23.654,0.1658,5.6,169.7,5.31,731.0,8.2183,0.43
3411,Kepler-238 f,2013,50.447,0.2747,2.0,13.5,9.27,568.0,7.159,0.43
3412,Kepler-239 b,2014,11.763051,0.095,2.33,6.04,2.62,616.0,2.899,-0.475
3413,Kepler-239 c,2014,56.228098,0.268,2.51,6.85,2.38,366.0,3.7,-0.475
3416,Kepler-24 d,2014,4.244384,0.051,1.67,3.43,4.05,1305.0,2.945,0.142
3417,Kepler-24 e,2014,18.998355,0.138,2.78,8.15,2.08,792.0,2.963,0.142
3418,Kepler-240 b,2014,4.144495,0.048,1.37,2.45,5.24,864.0,2.368,-0.524
3419,Kepler-240 c,2014,7.953528,0.074,2.2,102.3,52.8,696.0,2.598,-0.524
3420,Kepler-241 b,2014,12.718092,0.094,2.33,6.04,2.62,562.0,3.117,-0.607
3421,Kepler-241 c,2014,36.065978,0.189,2.57,7.13,2.31,397.0,4.273,-0.607
3422,Kepler-242 b,2014,8.20395,0.075,2.61,7.32,2.26,742.0,2.74,-0.613
3423,Kepler-242 c,2014,14.496481,0.109,2.0,4.66,3.2,613.0,3.222,-0.613
3424,Kepler-243 b,2014,5.715442,0.062,2.45,6.57,2.45,850.0,2.484,-0.373
3425,Kepler-243 c,2014,20.026218,0.142,1.99,4.62,3.22,559.0,1.319,-0.373
3426,Kepler-244 b,2014,4.311792,0.05,2.76,8.05,2.1,1038.0,2.735,-0.256
3427,Kepler-244 c,2014,9.767292,0.087,2.05,4.86,3.1,791.0,1.373,-0.256
3428,Kepler-244 d,2014,20.050401,0.14,2.31,15.2,6.78,622.0,4.504,-0.256
3429,Kepler-245 b,2014,7.49019,0.071,2.57,7.13,2.31,753.0,2.804,-0.396
3430,Kepler-245 c,2014,17.460812,0.124,2.18,225.6,120.0,568.0,2.244,-0.396
3431,Kepler-245 d,2014,36.277108,0.202,3.03,21.6,4.27,445.0,4.804,-0.396
3432,Kepler-245 e,2016,3.21982106,0.04,1.75,3.71,3.8,998.0,2.1157,-0.396
3433,Kepler-246 b,2014,4.60182,0.052,2.34,6.08,2.61,896.0,2.227,-0.413
3434,Kepler-246 c,2014,11.187161,0.095,1.5,2.86,4.66,667.0,3.161,-0.413
3435,Kepler-247 b,2014,3.33616,0.042,1.64,3.33,4.15,970.0,2.077,-0.422
3436,Kepler-247 c,2014,9.439452,0.084,4.09,15.7,1.26,686.0,2.896,-0.422
3437,Kepler-247 d,2014,20.477912,0.14,3.94,14.7,1.32,530.0,3.068,-0.422
3438,Kepler-248 b,2014,6.308205,0.066,3.02,9.38,1.87,819.0,3.008,-0.418
3439,Kepler-248 c,2014,16.239494,0.123,4.07,15.6,1.27,598.0,4.03,-0.418
3440,Kepler-249 b,2014,3.306539,0.035,1.09,1.32,5.6,554.0,1.767,-1.495
3441,Kepler-249 c,2014,7.113702,0.058,1.51,2.89,4.61,429.0,2.219,-1.495
3442,Kepler-249 d,2014,15.368459,0.097,1.57,3.09,4.39,332.0,2.697,-1.495
3443,Kepler-25 b,2011,6.238297,0.0685,2.748,8.7,2.32,1185.0,3.54393,0.467
3444,Kepler-25 c,2011,12.7207,0.1101,5.217,15.2,0.588,934.0,2.862,0.422
3446,Kepler-250 b,2014,4.148141,0.048,1.13,1.51,5.75,938.0,2.403,-0.457
3447,Kepler-250 c,2014,7.156804,0.069,2.28,5.82,2.7,782.0,2.567,-0.457
3448,Kepler-250 d,2014,17.648312,0.127,2.18,5.39,2.86,579.0,1.98,-0.457
3449,Kepler-251 b,2014,4.790936,0.053,1.33,2.33,5.44,990.0,2.705,-0.172
3450,Kepler-251 c,2014,16.514043,0.122,2.77,8.1,2.09,655.0,4.108,-0.172
3451,Kepler-251 d,2014,30.133001,0.182,2.77,8.1,2.09,536.0,4.919,-0.172
3452,Kepler-251 e,2014,99.640161,0.404,2.77,8.1,2.09,360.0,4.36,-0.172
3453,Kepler-252 b,2014,6.668391,0.058,1.23,2.04,6.02,587.0,1.978,-0.786
3454,Kepler-252 c,2014,10.848463,0.08,2.15,5.27,2.91,499.0,2.976,-0.786
3455,Kepler-253 b,2014,3.783986,0.046,1.63,3.29,4.17,949.0,1.932,-0.387
3456,Kepler-253 c,2014,10.281951,0.089,2.65,7.51,2.22,680.0,3.517,-0.387
3457,Kepler-253 d,2014,18.119869,0.13,3.17,10.2,1.76,563.0,4.29,-0.387
3458,Kepler-254 b,2014,5.826662,0.064,3.87,14.3,1.36,1013.0,3.032,-0.125
3459,Kepler-254 c,2014,12.412183,0.105,2.15,3.2,1.77,787.0,3.362,-0.125
3460,Kepler-254 d,2014,18.746477,0.139,2.5,6.8,2.39,686.0,3.961,-0.125
3461,Kepler-255 b,2014,5.714606,0.063,1.55,3.02,4.46,971.0,2.238,-0.183
3462,Kepler-255 c,2014,9.946047,0.092,2.99,9.22,1.9,807.0,3.38,-0.183
3463,Kepler-255 d,2016,1.04562266,0.0192,1.32,2.3,5.5,1710.0,1.8269,-0.183
3464,Kepler-256 b,2014,1.620493,0.027,1.59,3.15,4.31,1681.0,2.241,-0.059
3465,Kepler-256 c,2014,3.38802,0.045,2.15,5.27,2.91,1315.0,2.628,-0.059
3466,Kepler-256 d,2014,5.839172,0.064,2.48,6.71,2.42,1097.0,3.134,-0.059
3467,Kepler-256 e,2014,10.681572,0.096,2.35,6.12,2.59,897.0,3.542,-0.059
3468,Kepler-257 b,2014,2.382667,0.034,2.61,7.32,2.26,1237.0,1.812,-0.378
3469,Kepler-257 c,2014,6.581484,0.066,5.41,25.2,0.875,881.0,3.289,-0.378
3470,Kepler-257 d,2014,24.664551,0.16,4.95,21.7,0.983,567.0,2.655,-0.378
3471,Kepler-258 b,2014,13.19722,0.103,4.06,15.5,1.27,642.0,3.418,-0.575
3472,Kepler-258 c,2014,33.653079,0.193,3.61,12.7,1.48,470.0,4.126,-0.575
3473,Kepler-259 b,2014,8.115317,0.079,2.8,8.25,2.07,879.0,2.954,-0.153
3474,Kepler-259 c,2014,36.924931,0.217,2.7,7.75,2.16,530.0,4.723,-0.153
3475,Kepler-26 b,2011,12.28,0.08551,2.78,5.12,1.26,431.0,2.7096,-1.06
3476,Kepler-26 c,2011,17.2559,0.10725,2.72,6.2,1.61,385.0,2.0371,-1.06
3477,Kepler-26 d,2014,3.543919,0.039,1.07,1.24,5.56,652.0,2.012,-1.06
3478,Kepler-26 e,2014,46.827915,0.22,2.41,6.39,2.51,276.0,2.084,-1.06
3479,Kepler-260 b,2014,8.187399,0.075,2.01,4.7,3.18,782.0,3.027,-0.092
3480,Kepler-260 c,2014,76.050178,0.332,1.74,3.68,3.84,372.0,6.826,-0.092
3481,Kepler-261 b,2014,10.381227,0.088,2.18,5.39,2.86,672.0,2.759,-0.471
3482,Kepler-261 c,2014,24.570858,0.156,2.0,4.66,3.2,505.0,2.761,-0.471
3483,Kepler-262 b,2014,13.060855,0.108,1.36,2.42,5.29,734.0,3.278,-0.14
3484,Kepler-262 c,2014,21.853722,0.152,1.64,3.33,4.15,618.0,3.49,-0.14
3485,Kepler-263 b,2014,16.568087,0.12,2.67,7.61,2.2,548.0,4.143,-0.456
3486,Kepler-263 c,2014,47.332773,0.242,2.47,6.66,2.43,386.0,3.069,-0.456
3487,Kepler-264 b,2014,40.806231,0.249,3.33,11.1,1.65,772.0,14.253,0.689
3488,Kepler-264 c,2014,140.101261,0.566,2.83,8.4,2.04,511.0,17.933,0.689
3489,Kepler-265 b,2014,6.846262,0.069,1.86,4.12,3.52,1022.0,3.59,0.005
3490,Kepler-265 c,2014,17.028937,0.127,2.63,7.41,2.24,755.0,4.732,0.005
