,Planet Name,Discovery Year,Orbital Period (days),Orbital Radius,Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Density,Equilibrium Temperature [K],Transit Duration [hours],Star luminosity
5066,TOI-2096 c,2023,6.38784,0.04,1.914,4.32,3.39,349.0,1.354,-2.228
5067,TOI-2109 b,2021,0.67247414,0.01791,15.098,1595.4986,2.55,3646.0,1.801,0.673
5068,TOI-2136 b,2022,7.851928,0.057,2.19,6.37,3.34,395.0,1.66,-1.886
5069,TOI-2145 b,2023,10.26075,0.1108,11.982,1671.77742,5.34,1484.0,7.447,0.997
5070,TOI-2152 A b,2023,3.3773512,0.05064,14.359,899.45439,1.67,1802.0,3.715,0.653
5071,TOI-2154 b,2023,3.8240801,0.0513,16.287,292.40213,0.37,1580.0,2.465,0.435
5072,TOI-2158 b,2022,8.60077,0.075,10.761,260.61929,1.14,1188.0,3.77,0.231
5073,TOI-216.01,2019,34.525528,0.2069,10.1,177.98391,0.76,497.0,5.514,-0.442
5074,TOI-216.02,2019,17.16073,0.1293,8.0,18.75188,0.34,628.0,2.062,-0.442
5075,TOI-2180 b,2022,260.79,0.828,11.321,875.61726,3.32,348.0,24.096,0.406
5077,TOI-2193 A b,2022,2.1225735,0.03319,19.84,298.7587,0.06,1763.0,1.64688,0.25
5079,TOI-2196 b,2022,1.1947268,0.02234,3.51,26.0,3.31,1860.0,1.504,-0.004
5080,TOI-220 b,2021,10.695264,0.08911,3.03,13.8,2.73,805.0,2.239,-0.267
5081,TOI-2202 b,2021,11.9101,0.09564,11.321,310.83618,1.18,652.0,4.009689,-0.401
5083,TOI-2207 b,2022,8.001968,0.0854,11.153,203.41018,0.8,1259.0,4.632,0.484
5084,TOI-2236 b,2022,3.5315902,0.05009,14.37,502.16888,0.93,1688.0,3.048,0.533
5085,TOI-2257 b,2021,35.189346,0.145,2.194,5.45,2.84,256.0,3.846,-1.867
5086,TOI-2260 b,2022,0.3524728,0.0097,1.62,3.26,4.21,2609.0,0.8508711,-0.199
5089,TOI-2338 b,2023,22.65398,0.158,11.209,1900.61387,7.42,799.0,3.468,-0.013
5090,TOI-2364 b,2023,4.0197517,0.04871,8.608,71.51139,0.61,1091.0,2.7751,-0.252
5091,TOI-237 b,2020,5.436098,0.0341,1.44,2.67,4.91,388.0,1.172585,-2.387
5092,TOI-2406 b,2021,3.0766896,0.0228,2.94,8.96,1.94,447.0,1.2603993,0.531
5093,TOI-2411 b,2022,0.7826942,0.0144,1.68,3.46,4.01,1355.0,1.2621481,-0.871
5094,TOI-2421 b,2022,4.3474032,0.0543,10.368,105.83686,0.52,1534.0,4.8624,0.436
5095,TOI-2427 b,2022,1.3060011,0.0202,1.8,3.89,3.67,1117.0,0.634,-0.942
5096,TOI-244 b,2023,7.397225,0.0559,1.52,2.68,4.2,458.0,1.7,-1.643
5098,TOI-2445 b,2022,0.3711281,0.0064,1.25,2.1,5.91,1060.0,0.4918187,-2.084
5100,TOI-2497 b,2023,10.655669,0.1166,11.142,1531.93292,6.1,1595.0,7.838,1.167
5101,TOI-2498 b,2023,3.738252,0.0491,6.06,34.62,0.86,1443.0,3.0145864,0.271
5103,TOI-2525 b,2023,23.2856,0.1511,8.676,26.69759,0.225,513.0,4.05,-0.44
5104,TOI-2525 c,2023,49.2519,0.249,10.133,208.81326,1.11,400.0,5.502,-0.44
5106,TOI-2567 b,2022,5.983944,0.0672,10.929,63.88351,0.269,1352.0,5.4576,0.405
5107,TOI-257 b,2021,18.38818,0.1528,7.163,43.86032,0.65,1027.0,6.485,0.636
5108,TOI-2570 b,2022,2.9887615,0.04145,13.641,260.61929,0.563,1431.0,3.00648,0.079
5109,TOI-2583 A b,2023,4.5207265,0.0571,14.46,79.4571,0.144,1456.0,4.406,0.388
5110,TOI-2587 A b,2023,5.45664,0.0635,12.072,69.28659,0.216,1445.0,4.162,0.471
5111,TOI-2589 b,2023,61.6277,0.3,12.106,1112.39942,3.45,592.0,6.401,-0.004
5112,TOI-262 b,2023,11.14529,0.163,2.07,4.94,3.06,584.0,1.501,-0.29
5113,TOI-2641 b,2023,4.880974,0.0607,18.103,122.68177,0.092,1387.0,1.68,0.34
5115,TOI-269 b,2021,3.6977104,0.0345,2.77,8.8,2.28,531.0,0.918813,-1.647
5116,TOI-270 b,2019,3.3601538,0.03197,1.206,1.58,4.97,581.0,1.387,-1.712
5117,TOI-270 c,2019,5.6605731,0.04526,2.355,6.15,2.6,488.0,1.658,-1.712
5118,TOI-270 d,2019,11.379573,0.0721,2.133,4.78,2.72,387.0,2.148,-1.712
5119,TOI-277 b,2022,3.994,0.0269,2.65,7.51,2.22,588.0,1.9693065,-1.35
5120,TOI-2796 b,2023,4.8084983,0.0569,17.262,139.8445,0.15,1205.0,1.96,0.055
5121,TOI-2803 A b,2023,1.96229325,0.03185,18.114,309.8827,0.287,1893.0,3.091,0.336
5122,TOI-2818 b,2023,4.039709,0.0493,15.278,225.65817,0.34,1376.0,3.804,0.164
5123,TOI-2842 b,2023,3.5514058,0.0475,12.845,117.59651,0.304,1471.0,2.575,0.246
5124,TOI-2977 b,2023,2.3505614,0.03386,13.159,533.95172,1.28,1544.0,2.934,0.037
5125,TOI-3023 b,2023,3.9014971,0.0505,16.432,197.05361,0.245,1596.0,4.961,0.444
5127,TOI-3235 b,2023,2.59261842,0.02709,11.4,211.35589,0.78,604.0,1.48,-1.79
5128,TOI-332 b,2023,0.777038,0.0159,3.2,57.2,9.6,1871.0,1.52,-0.221
5129,TOI-3331 A b,2022,2.0180231,0.03144,12.98,721.47048,1.82,1488.0,2.12304,-0.093
5130,TOI-3362 b,2021,18.09547,0.153,12.801,1598.35906,4.19,688.0,2.627,0.739
5131,TOI-3364 b,2023,5.8768918,0.0675,12.229,530.77344,1.6,1264.0,4.646,0.286
5132,TOI-3540 A b,2022,3.119999,0.04289,23.539,375.03752,0.065,1498.0,1.9008,0.19
5133,TOI-3629 b,2022,3.936551,0.043,8.295,82.63539,0.8,690.0,2.2,-1.125
5134,TOI-3688 A b,2023,3.246075,0.0456,13.081,311.47184,0.76,1534.0,3.482,0.283
5135,TOI-3693 b,2022,9.088516,0.0813,12.599,324.18498,0.89,801.0,3.5568,-0.344
5136,TOI-3714 b,2022,2.154849,0.027,11.321,222.47988,0.85,750.0,1.66,-1.407
5137,TOI-3757 b,2022,3.438753,0.03845,12.0,85.3,0.27,759.0,1.92,-1.06
5138,TOI-3785 b,2023,4.6747373,0.043,5.14,14.95,0.61,582.0,1.7,-1.435
5139,TOI-3807 b,2023,2.8989727,0.0421,18.495,330.54154,0.289,1646.0,1.78,0.332
5140,TOI-3819 b,2023,3.2443141,0.04611,13.137,352.78953,0.85,1633.0,2.779,0.4
5141,TOI-3884 b,2022,4.5445697,0.0354,6.0,16.5,0.424,463.0,1.646,-2.032
5142,TOI-3912 b,2023,3.4936264,0.0463,14.28,129.03833,0.243,1512.0,3.557,0.273
5143,TOI-3976 A b,2023,6.607662,0.0743,12.274,55.61997,0.165,1295.0,4.517,0.413
5144,TOI-3984 A b,2023,4.353326,0.041,7.9,44.0,0.49,563.0,2.01,-1.574
5145,TOI-4010 b,2023,1.348335,0.0229,3.02,11.0,2.2,1441.0,1.77,-0.4
5146,TOI-4010 c,2023,5.414654,0.058,5.93,20.31,0.5,907.0,2.77,-0.4
5147,TOI-4010 d,2023,14.70886,0.113,6.18,38.15,0.9,650.0,3.6,-0.4
5149,TOI-4087 b,2023,3.1774835,0.04469,13.047,232.01474,0.57,1458.0,2.9842,0.176
5150,TOI-411 b,2022,4.040295,0.05727,1.362,13.71,18.96,1241.0,3.074,0.209
5151,TOI-411 c,2022,9.573083,0.1017,2.328,9.72,3.15,931.0,3.684,0.209
5152,TOI-4127 b,2023,56.39879,0.3081,12.285,731.00534,2.17,605.0,4.069,0.316
5153,TOI-4137 b,2022,3.8016122,0.05222,13.574,457.67291,1.01,1570.0,3.4296,0.439
5154,TOI-4145 A b,2023,4.0664428,0.04823,13.305,136.66622,0.32,1074.0,2.106,-0.287
5155,TOI-4184 b,2023,4.9019804,0.0336,2.43,6.48,2.48,412.0,1.3,-2.264
5156,TOI-4201 b,2023,3.5819194,0.04,13.675,788.21445,1.82,725.0,2.231,-1.119
5157,TOI-421 b,2020,5.19672,0.056,2.68,7.17,2.05,981.0,1.107,-0.268
5158,TOI-421 c,2020,16.06819,0.1189,5.09,16.42,0.685,674.0,2.71,-0.268
5160,TOI-431 b,2021,0.490047,0.0113,1.28,3.07,8.0,1862.0,1.0123328,-0.565
5162,TOI-431 d,2021,12.46103,0.098,3.29,9.9,1.36,633.0,3.3195777,-0.565
5164,TOI-4342 b,2023,5.5382498,0.05251,2.266,5.76,2.72,634.0,2.215,-1.127
5165,TOI-4342 c,2023,10.688716,0.0814,2.415,6.41,2.5,509.0,2.82,-1.127
5166,TOI-4406 b,2023,30.08364,0.201,11.209,95.34852,0.372,904.0,3.934256,0.362
5167,TOI-444 b,2023,17.9636,0.133,2.77,8.1,2.09,609.0,3.761,-0.418
5168,TOI-4463 A b,2023,2.8807198,0.04036,13.26,252.35576,0.595,1395.0,1.85,0.011
5169,TOI-4479 b,2022,1.1589,0.0164,2.82,8.35,2.05,861.0,1.1688702,-1.604
5170,TOI-451 b,2020,1.858703,0.0283,1.91,4.31,3.4,1491.0,2.0376,-0.189
5171,TOI-451 c,2020,9.192522,0.0823,3.1,9.8,1.81,875.0,3.5592,-0.189
5172,TOI-451 d,2020,16.364988,0.1208,4.07,15.6,1.27,722.0,4.0968,-0.189
5173,TOI-4562 b,2023,225.11781,0.768,12.53,732.0,2.06,318.0,4.32,0.253
5177,TOI-4603 b,2023,7.24599,0.0888,11.68,4096.80817,14.1,1677.0,2.854,1.017
5178,TOI-470 b,2023,12.19148,0.119,4.34,17.4,1.17,660.0,3.063,-0.358
5179,TOI-4791 b,2023,4.28088,0.0555,12.442,734.18362,2.09,1472.0,3.334,0.38
5180,TOI-481 b,2020,10.33111,0.097,11.097,486.2799,1.96,1370.0,5.775,0.435
5181,TOI-4860 b,2023,1.52275959,0.01845,8.474,212.94503,1.92,624.0,1.2435,-1.836
5182,TOI-500 b,2022,0.548177,0.01189,1.166,1.42,4.89,1617.0,0.998,-0.7
5186,TOI-5126 b,2023,5.4588385,0.06519,4.74,20.2,1.04,1442.0,3.726,0.299
5187,TOI-5126 c,2023,17.8999,0.1439,3.86,14.2,1.36,971.0,5.34,0.299
5188,TOI-5153 b,2022,20.33003,0.158,11.882,1036.12061,3.39,906.0,4.87,0.464
5190,TOI-519 b,2021,1.2652328,0.0159,11.545,147.15455,0.56,687.0,1.236,-1.851
5191,TOI-5205 b,2023,1.630757,0.0199,11.6,343.0,1.21,737.0,1.4,-1.712
5193,TOI-5293 A b,2023,2.930289,0.034,11.9,170.4,0.56,675.0,1.94,-1.374
5194,TOI-530 b,2021,6.387597,0.052,9.303,127.13136,0.93,565.0,2.5085304,-1.31
5195,TOI-532 b,2021,2.3266508,0.0296,5.82,61.5,1.72,867.0,1.75,-1.095
5196,TOI-5344 b,2023,3.792622,0.04041,10.604,130.9453,0.604,689.0,1.773,-1.213
5197,TOI-5398 b,2022,10.590547,0.098,10.3,58.7,0.29,947.0,4.258,0.117
5198,TOI-5398 c,2023,4.77271,0.057,3.52,11.8,1.5,1242.0,3.127,0.117
5199,TOI-540 b,2020,1.2391491,0.01223,0.903,0.674,5.03,611.0,0.4887749,-2.461
5200,TOI-544 b,2022,1.548351,0.0251,2.03,4.78,3.14,1082.0,1.2030925,-0.9
5201,TOI-5542 b,2022,75.12375,0.332,11.31,419.5335,1.6,441.0,8.599,1.057
5202,TOI-558 b,2021,14.574071,0.1291,12.173,1147.36055,3.5,1061.0,2.705,0.547
5203,TOI-559 b,2021,6.9839095,0.0723,12.229,1910.14873,5.74,1180.0,5.1502,0.227
5204,TOI-561 b,2020,0.4465688,0.0106,1.425,2.0,3.8,2310.0,1.31,-0.273
5205,TOI-561 c,2020,10.778831,0.0884,2.91,5.39,1.2,800.0,3.75,-0.273
5206,TOI-561 d,2020,25.7124,0.158,2.82,13.2,3.2,598.0,4.54,-0.273
5207,TOI-561 e,2020,77.03,0.328,2.55,12.6,4.2,415.0,6.98,-0.273
5208,TOI-564 b,2020,1.651144,0.02734,11.433,464.98529,1.7,1714.0,1.0272,0.033
5209,TOI-5678 b,2023,47.73022,0.249,4.91,20.0,0.928,513.0,6.96,-0.131
5212,TOI-615 b,2023,4.6615983,0.0678,18.977,138.25536,0.084,1666.0,4.241,0.768
5213,TOI-620 b,2022,5.0988179,0.04825,3.76,13.6,1.41,604.0,1.36,-1.288
5214,TOI-622 b,2023,6.402513,0.0708,9.236,96.30201,0.507,1388.0,3.907,0.474
5215,TOI-628 b,2021,3.4095675,0.0486,11.882,2011.8639,6.58,1586.0,3.7824,0.394
5216,TOI-640 b,2021,5.0037775,0.06608,19.851,279.6904,0.195,1749.0,3.6048,0.834
5218,TOI-674 b,2021,1.977143,0.025,5.25,23.6,0.91,635.0,1.0375028,-1.614
5219,TOI-677 b,2020,11.2366,0.1038,13.115,392.83788,0.957,1252.0,2.5776,0.312
5220,TOI-700 b,2020,9.977219,0.0677,0.914,0.704,5.07,417.0,2.17,-1.64
5221,TOI-700 c,2020,16.051137,0.0929,2.6,7.27,2.27,356.0,1.42,-1.64
5222,TOI-700 d,2020,37.42396,0.1633,1.073,1.25,5.56,269.0,3.314,-1.64
5223,TOI-700 e,2023,27.80978,0.134,0.953,0.818,5.19,273.0,2.777,-1.64
5224,TOI-712 b,2022,9.531361,0.07928,2.049,4.85,3.1,650.0,1.735,-0.728
5225,TOI-712 c,2022,51.69906,0.2447,2.701,7.76,2.16,370.0,4.843,-0.728
5226,TOI-712 d,2022,84.8396,0.3405,2.474,6.68,2.42,314.0,5.702,-0.728
5227,TOI-715 b,2023,19.288004,0.083,1.55,3.02,4.46,234.0,1.98,-2.309
5228,TOI-733 b,2023,4.884765,0.0618,1.992,5.72,3.98,1056.0,2.61,-0.086
5229,TOI-763 b,2020,5.6057,0.06,2.28,9.79,4.51,1038.0,2.9960347,-0.154
5230,TOI-763 c,2020,12.2737,0.1011,2.63,9.32,2.82,800.0,4.3065941,-0.154
5231,TOI-776 b,2020,8.24661,0.0652,1.85,4.0,3.4,514.0,2.41,-1.31
5232,TOI-776 c,2020,15.6653,0.1,2.02,5.3,3.5,415.0,2.99,-1.31
5233,TOI-778 b,2023,4.633611,0.06,15.4,878.0,1.3,1561.0,3.76,0.76
5234,TOI-784 b,2023,2.7970365,0.038,1.93,9.67,7.4,1256.0,2.185,-0.19
5235,TOI-813 b,2020,83.8911,0.423,6.71,36.4,0.662,610.0,13.0417142,0.619
5236,TOI-824 b,2020,1.392978,0.02177,2.926,18.467,4.03,1253.0,1.15344,-0.71
5237,TOI-833 b,2022,1.0418777,0.0171,1.27,2.15,5.77,1118.0,1.2065106,-1.111
5238,TOI-836 b,2023,3.81673,0.0422,1.704,4.53,5.02,871.0,1.805,-0.853
5239,TOI-836 c,2023,8.59545,0.075,2.587,9.6,3.06,665.0,2.486,-0.853
5241,TOI-849 b,2020,0.76552414,0.01598,3.444,39.09,5.2,1932.0,1.57,-0.218
5242,TOI-858 B b,2023,3.2797178,0.04435,14.067,349.61125,0.69,1529.0,3.6024,0.253
5243,TOI-892 b,2020,10.62656,0.092,11.994,301.9385,0.962,1397.0,5.415,0.431
5244,TOI-905 b,2020,3.739494,0.04666,13.126,211.99261,0.515,1192.0,2.028,-0.137
5245,TOI-908 b,2023,3.183792,0.041657,3.186,16.137,2.742,1317.0,2.457,-0.04
5249,TOI-954 b,2020,3.6849729,0.04963,9.55,55.30242,0.35,1526.0,5.09,0.535
5250,TOI-969 b,2022,1.8237305,0.02636,2.765,9.1,2.34,941.0,1.519,-0.7
5252,TRAPPIST-1 b,2016,1.510826,0.01154,1.116,1.374,5.441939,398.0,0.601,-3.257
5253,TRAPPIST-1 c,2016,2.421937,0.0158,1.097,1.308,5.463993,340.0,0.7005,-3.257
