pl_name,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,sy_dist
"Kepler-85 d",2014,"Kepler",0,"17.91323",0.13,1.2,1.87,"0","626","765.025"
"Kepler-747 b",2016,"Kepler",1,"35.61760587",0.1916,5.27,24.1,"0","456","3347.16"
"Kepler-835 b",2016,"Kepler",0,"11.41909375",0.107,2.79,8.2,"0","921","2406.33"
"TOI-1338 b",2020,"Transiting Exoplanet Survey Satellite (TESS)",0,"95.174",0.4607,6.85,33,"0.088","254.652504802","399.017"
"Kepler-435 b",2015,"Kepler",0,"8.6001536",0.0948,22.31,266.97,"0.114","1729","1418.77"
"HAT-P-17 c",2010,"W. M. Keck Observatory",0,"5584",5.6,13.1,1080.6,"0.39",,"92.3831"
"WASP-126 c",2019,"Transiting Exoplanet Survey Satellite (TESS)",0,"7.63",,9.38,64.2,"0.05",,"216.526"
"KELT-15 b",2016,"KELT-South",0,"3.32944",0.04613,19.504,416.3573,"0","1642","324.683"
"WASP-32 b",2010,"SuperWASP",0,"2.71866",0.0394,10.761,835.8929,"0","1388","275.994"
"TRAPPIST-1 c",2016,"La Silla Observatory",0,"2.421937",0.0158,1.097,1.308,"0.00654","339.7","12.4298888"
"Kepler-1656 c",2022,"W. M. Keck Observatory",0,"1919",3.053,14,126.4,"0.527",,"185.875"
"psi1 Dra B b",2015,"McDonald Observatory",0,"3117",4.43,13.5,486.2799,"0.4",,"22.7188"
"TOI-1749 d",2021,"Transiting Exoplanet Survey Satellite (TESS)",0,"9.0497",0.0707,2.52,15,"0.062","533","99.5561"
"TOI-2025 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"8.8720982",0.0892,11.893,1144.18227,"0.394","1166","335.985"
"TOI-1296 b",2021,"Transiting Exoplanet Survey Satellite (TESS)",0,"3.9443715",0.0497,13.798,94.71287,"0.055","1562","323.265"
"TOI-1749 b",2021,"Transiting Exoplanet Survey Satellite (TESS)",0,"2.38839",0.0291,1.39,57,"0.14","831","99.5561"
"GJ 649 b",2009,"W. M. Keck Observatory",0,"600.1",1.112,10.8,81.99973,"0.083",,"10.3796"
"HD 114783 b",2001,"W. M. Keck Observatory",0,"493.7",1.16,13.7,349.6,"0.144",,"21.0628"
"TOI-199 c",2023,"Multiple Observatories",0,"273.69",0.807,11.4,88.99195,"0.096",,"102.27"
"WASP-79 b",2012,"SuperWASP",0,"3.662392",0.0519,17.15,270.15415,"0","1716.2","246.69"
"HD 16905 b",2022,"Multiple Observatories",0,"10256",8.8,12.4,3591.461,"0.68",,"39.7401"
"HD 221420 b",2019,"Anglo-Australian Telescope",0,"10066",10.1,12,6992.22495,"0.12",,"31.1415"
"KMT-2022-BLG-0371L b",2023,"KMTNet",0,,3.02,10.9,82.63539,,,"7140"
"WASP-148 c",2020,"Haute-Provence Observatory",0,"34.524",0.2044,13.9,124.58874,"0.1809","590","246.353"
"TYC 2187-512-1 b",2022,"Calar Alto Observatory",0,"691.9",1.22,12.5,104.88337,"0.05",,"15.4744"
"USco1621 b",2019,"Multiple Observatories",0,,2880,12.2,5085.28,,"2270","137.901"
"Kepler-983 b",2016,"Kepler",0,"60.0855082",0.3148,2.36,6.17,"0","485","714.437"
"Kepler-987 b",2016,"Kepler",0,"105.3033148",0.4238,3.26,10.7,"0","351","914.126"
"Kepler-989 b",2016,"Kepler",0,"7.96431535",0.0734,2.21,5.52,"0","805","491.978"
"Kepler-997 b",2016,"Kepler",0,"2.70730672",0.0397,1.36,2.42,"0","1709","467.568"
"Kepler-991 b",2016,"Kepler",0,"82.5342519",0.3104,2.54,6.99,"0","260","389.561"
"HAT-P-29 b",2011,"HATNet",0,"5.72319",0.0667,13.115,279.6904,"0.09","1271","313.576"
"HAT-P-58 b",2021,"HATNet",0,"4.0138379",0.04994,14.93,118.23217,"0.073","1622","515.59"
"TOI-1107 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"4.0782387",0.0561,14.572,1064.72516,"0.025","1728","281.314"
"GPX-1 b",2021,"Acton Sky Portal Observatory",0,"1.744579",0.0338,16.477,6261.21962,"0","2300","655.013"
"Kepler-102 c",2014,"Kepler",0,"7.071392",0.06702,0.567,1.7,"0.094","777","107.796"
"HIP 41378 d",2016,"K2",0,"1114",,3.96,14.9,"0",,"106.289"
"HD 205158 b",2022,"Multiple Observatories",0,"25.33798",0.177,13.9,124.58874,"0.145",,"86.6159"
"XO-6 b",2016,"XO",0,"3.7650007",0.0815,23.203,1398.452,"0","1577","235.479"
"GJ 1151 c",2023,"Multiple Facilities",0,"389.7",0.5714,3.25,10.62,,,"8.03625"
"MOA-2008-BLG-310L b",2009,"MOA",0,,1.1,5.18,23.4,,,"7700"
"Kepler-809 b",2016,"Kepler",0,"55.63934",0.2901,3.01,9.32,"0","478","961.405"
